epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	capture_rate	episode_length	loss_value_evader	loss_policy_evader	epoch_time_s
168	-35.53825612783467	0.0	30.0	2.0	1.0	120.0	19.63566535458843	-0.21789371570143434	1.623063564300537
169	-35.37059549753518	0.0	30.0	1.3333333333333333	1.0	114.0	26.753683622464784	-0.1261411278201394	1.801353931427002
170	-36.44660033099817	0.0	30.0	3.3333333333333335	1.0	130.66666666666666	44.51256406397917	-0.13844045429288396	1.7660877704620361
171	-33.60095689495682	0.0	30.0	0.0	1.0	131.0	16.571106397590132	-0.28902615067604476	1.6245183944702148
172	-35.536395148610325	0.0	30.0	1.0	1.0	108.0	18.066483119506053	-0.13413403881090752	1.6977763175964355
173	-32.64369110847752	0.0	30.0	0.0	1.0	158.66666666666666	12.97045305060217	-0.14917831653933905	1.7134695053100586
174	-34.8272287980368	0.0	30.0	1.0	1.0	117.0	13.115891000811873	-0.10549522201100416	1.6453161239624023
175	-35.22385782315081	0.0	30.0	1.0	1.0	113.0	11.360786548345336	-0.17993432510980426	1.702608346939087
176	-34.8238855366678	0.0	30.0	2.6666666666666665	1.0	145.33333333333334	15.151167576067564	-0.11081791712631396	1.8355917930603027
177	-36.214009124211515	0.0	30.0	3.0	1.0	102.25	21.031100738052647	-0.006130529181897539	1.8262543678283691
178	-35.531174661595685	0.0	30.0	0.0	1.0	96.0	7.32524423744214	-0.027836276759126873	1.5975651741027832
179	-6.5277475490872074	0.0	29.0	2.0	0.9666666666666667	500.0	8.699430823528898	-0.2587739428754539	1.4983294010162354
180	-35.05355464657536	0.0	30.0	0.0	1.0	81.66666666666667	8.077533008702039	0.08234138000183462	1.7225098609924316
181	-36.75121334902824	0.0	30.0	1.0	1.0	76.0	5.943843845235534	0.05992326139928703	1.6507408618927002
182	-35.378850679685115	0.0	30.0	1.2	1.0	99.6	8.738745733419119	0.004438625692550338	1.8114140033721924
183	-33.59546092878691	0.0	30.0	2.6666666666666665	1.0	156.0	10.399388194074408	-0.03646336803432626	1.6964640617370605
184	-6.018717470191842	0.0	29.0	2.0	0.9666666666666667	500.0	4.694723250744419	-0.20357506545907247	1.488935947418213
185	-35.84957385267858	0.0	30.0	1.2	1.0	94.6	6.3405738927527695	-0.008108875638152905	1.8372063636779785
186	-115.9313090514359	0.0	30.0	22.0	1.0	113.75	3490.861517984205	0.11976834522035004	1.8544158935546875
187	-34.24668367635993	0.0	30.0	1.3333333333333333	1.0	131.0	73.93634639438662	-0.23108884751164344	1.7309739589691162
188	-5.353917139295889	0.0	29.0	0.0	0.9666666666666667	500.0	31.099963836909705	-0.2567392188484107	1.4878191947937012
189	-6.140912973452972	0.0	29.0	2.0	0.9666666666666667	500.0	23.161076663062072	0.26662100484997897	1.4898405075073242
190	-31.321460348852398	0.0	30.0	8.0	1.0	243.0	36.2440791664542	-0.24219311727658585	1.5894315242767334
191	-37.7433273409581	0.0	30.0	4.0	1.0	91.66666666666667	623.4318275821827	0.07915485337417937	1.6813273429870605
192	-35.465934444932216	0.0	30.0	1.0	1.0	104.0	10.919235757721568	-0.06304852041593643	1.700629711151123
193	-34.540221919965084	0.0	30.0	1.0	1.0	124.0	11.665800373556843	-0.0734702436139987	1.7789127826690674
194	-27.436261725452127	0.0	30.0	0.0	1.0	247.0	12.69371374564789	-0.05518605249829243	1.6060094833374023
195	-34.992948852154775	0.0	30.0	0.6666666666666666	1.0	111.0	17.729968880594136	-0.15016329957646857	1.7827863693237305
196	-32.82903273409429	0.0	30.0	1.0	1.0	160.0	12.705445501491962	-0.285741655724125	1.6967580318450928
197	-5.749250276714919	0.0	29.0	2.0	0.9666666666666667	500.0	8.411246785696452	-0.24989960627016122	1.4769020080566406
198	-34.35902978254135	0.0	30.0	0.0	1.0	115.25	8.383075740998137	0.029943519917559627	1.81996750831604
199	-35.261971856923964	0.0	30.0	0.6666666666666666	1.0	104.66666666666667	7.47923659242669	0.10405421105361722	1.7439689636230469
200	-34.5437164964712	0.0	30.0	3.3333333333333335	1.0	106.0	12.126480239727739	0.12717247642052962	1.9772377014160156
201	-34.250298479913106	0.0	30.0	1.3333333333333333	1.0	155.66666666666666	12.412279565582319	0.10302346021231394	1.7145299911499023
202	-33.72232167034631	0.0	30.0	0.0	1.0	133.0	13.272655010828625	0.10877569843186785	1.6444478034973145
203	-36.03209322766443	0.0	30.0	1.5	1.0	102.5	10.041694823789278	-0.05154195047071822	1.9138555526733398
204	-35.60134264907528	0.0	30.0	2.0	1.0	102.5	8.17409884427938	-0.003925441929627152	1.8167502880096436
205	-29.864367283566587	0.0	30.0	0.0	1.0	205.5	6.826838442892105	-0.22335685843159242	1.643082618713379
206	-0.6083822594183852	0.0	28.0	2.0	0.9333333333333333	500.0	18.653694341472676	-0.18616590296514987	1.4919929504394531
207	-30.63578350864894	0.0	30.0	0.0	1.0	191.0	13.655616957300126	0.12378126784856702	1.6678776741027832
208	-35.896707694460716	0.0	30.0	0.0	1.0	88.5	8.920445569355504	0.1784565272155412	1.6372723579406738
209	-5.097168005099365	0.0	29.0	0.0	0.9666666666666667	500.0	2.673469298002791	-0.2217870321602371	1.475956678390503
